feature_set,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
demographic,logistic_regression,0.6027673163078293,0.004623034047159099,0.5849315701048423,0.005595453735414821,0.5458563535911602,0.007763429423940788,0.5646882471211209,0.005470628122468918
demographic,decision_tree,0.5620530889926822,0.00417752666735209,0.5410312350929277,0.0052958787555167815,0.47650308742281444,0.004318358203931896,0.5067051263024452,0.0038203753790436875
demographic,random_forest,0.5715336636539234,0.0025135474982597634,0.547702220186916,0.002674163140219139,0.5298667533311667,0.00674105539809641,0.5386182431339128,0.004164146123661075
engagement_early,logistic_regression,0.664682625023058,0.0020294744175755794,0.6395541485514202,0.0035128761032173755,0.6638284042898928,0.006492033013550237,0.6514328362905637,0.0023278961573205393
engagement_early,decision_tree,0.601202800358722,0.007246568393392621,0.5792138586899055,0.007385018347472282,0.5669808254793629,0.010740674179203439,0.5730243806000688,0.009025570466213372
engagement_early,random_forest,0.6462741359655805,0.008451510500158209,0.6200822466066664,0.009232844787378222,0.6473188170295743,0.008500634500758834,0.633390929002199,0.00826041583935125
engagement_mid,logistic_regression,0.8160955906686904,0.004718708517760437,0.7551426418805256,0.007029491491299164,0.9034774130646733,0.0022980395878665926,0.8226513873668331,0.0035501733631918397
engagement_mid,decision_tree,0.7479829700715274,0.004997075198600224,0.7376727506981156,0.0040543055801240116,0.7233019174520636,0.009774856651079602,0.7303954531507341,0.006478304921854505
engagement_mid,random_forest,0.8096524234563297,0.0031131359260968103,0.7548702943736647,0.004226327020993077,0.8837829054273643,0.0037259436198808244,0.8142443025936293,0.0026882741113367866
